SKU,Producto,Categoria,Marca,Precio,Stock,Fecha_Ingreso,Proveedor
SKU-10000,"Televisor Smart TV 55""",electrónica,Xiaomi,7963.19,114.0,2025-03-24,Distribuidora Comercial Integradora
SKU-10001,"Laptop Portátil 15.6""",Electrónica,Levis,2246.89,47.0,08/04/2025,Distribuidora Nacional
SKU-10002,Crema Hidratante Facial,Belleza,Xiaomi,1659.37,279.0,2025-07-08,Distribuidora Global S.A.
SKU-10003,Auriculares Bluetooth inalámbricos,Electrónica,Xiaomi,11431.44,142.0,07/03/2025,Distribuidora Global S.A.
SKU-10004,"Televisor Smart TV 55""",Electrónica,Levis,3772.83,176.0,09/10/2025,Distribuidora Sur Express
SKU-10005,Perfume Floral Dama 100ml,Belleza,Levis,288.2,150.0,20/11/2025,Distribuidora Global S.A.
SKU-10006,Crema Hidratante Facial,Belleza,Xiaomi,266.0,338.0,2025-04-25,Distribuidora Nacional
SKU-10007,Jeans de Mezclilla Hombre,Ropa y Calzado,Levis,680.86,325.0,2025-06-06,Distribuidora del Norte
SKU-10008,Aspiradora Robot Inteligente,Hogar y Cocina,,5901.71,311.0,06/11/2025,Distribuidora del Norte
SKU-10009,Chaqueta de Invierno Impermeable,Ropa y Calzado,,668.42,327.0,,Distribuidora Global S.A.
SKU-10010,Auriculares Bluetooth inalámbricos,Electrónica,Lenovo,2254.36,,2025-07-09,Distribuidora Comercial Integradora
SKU-10011,Cafetera de Filtro Eléctrica,Hogar y Cocina,Under Armour,4592.24,329.0,2025-08-05,Distribuidora del Norte
SKU-10012,Sérum Ácido Hialurónico,,Oster,1892.58,219.0,2025-10-13,Distribuidora del Norte
SKU-10013,Secador de Cabello Iónico,Belleza,Sony,1913.63,56.0,2025-03-21,Distribuidora Sur Express
SKU-10014,Perfume Floral Dama 100ml,BELLEZA,Levis,1015.27,,09/09/2025,Distribuidora Nacional
SKU-10015,"Tablet HD 10""",Electrónica,Loreal,19145.63,328.0,2025-06-04,Distribuidora del Norte
SKU-10016,  Balón de Fútbol Profesional  ,Deportes,Xiaomi,10528.86,134.0,2025-09-25,Distribuidora Nacional
SKU-10017,Aspiradora Robot Inteligente,,Loreal,5557.94,78.0,2025-06-25,Distribuidora Comercial Integradora
SKU-10018,"Laptop Portátil 15.6""",Electrónica,Philips,12982.23,57.0,27/06/2025,Distribuidora del Norte
SKU-10019,Auriculares Bluetooth inalámbricos,Electrónica,Maybelline,23753.31,43.0,,Distribuidora Comercial Integradora
SKU-10020,Camisa Casual Manga Larga,Ropa y Calzado,Under Armour,986.69,281.0,09/03/2025,Distribuidora Comercial Integradora
SKU-10021,Mancuernas de Neopreno 5kg,Deportes,Loreal,9099.89,102.0,2025-12-10,Distribuidora Global S.A.
SKU-10022,Mochila de Senderismo 40L,,Zara,1583.9,115.0,2025-02-11,Distribuidora Comercial Integradora
SKU-10023,Vestido Casual de Verano,Ropa y Calzado,Adidas,,323.0,2025-01-08,Distribuidora Nacional
SKU-10024,Licuadora de Alta Potencia,Hogar y Cocina,Loreal,2293.44,342.0,07/08/2025,Distribuidora Comercial Integradora
SKU-10025,Secador de Cabello Iónico,Belleza,,1982.87,208.0,2025-04-04,Distribuidora Sur Express
SKU-10026,Juego de Sábanas Matrimonial,,Levis,4308.82,27.0,21/11/2025,Distribuidora Nacional
SKU-10027,  Smartphone Android 128GB  ,Electrónica,Xiaomi,9473.61,55.0,2025-04-07,Distribuidora Sur Express
SKU-10028,Chaqueta de Invierno Impermeable,Ropa y Calzado,Nike,681.74,127.0,15/02/2025,Distribuidora Comercial Integradora
SKU-10029,"Televisor Smart TV 55""",Electrónica,Under Armour,24983.14,7.0,25/02/2025,Distribuidora del Norte
SKU-10030,Bicicleta de Montaña R26,Deportes,Zara,2682.91,205.0,2025-01-06,Distribuidora Sur Express
SKU-10031,Juego de Sábanas Matrimonial,Hogar y Cocina,Oster,3921.47,284.0,2025-11-23,Distribuidora del Norte
SKU-10032,Cafetera de Filtro Eléctrica,HOGAR Y COCINA,Samsung,5295.79,277.0,2025-01-24,Distribuidora Nacional
SKU-10033,Secador de Cabello Iónico,Belleza,Loreal,2306.45,271.0,02/03/2025,Distribuidora Nacional
SKU-10034,Jeans de Mezclilla Hombre,,Maybelline,355.34,,04/07/2025,Distribuidora Comercial Integradora
SKU-10035,Vestido Casual de Verano,Ropa y Calzado,Maybelline,311.6,41.0,22/07/2025,Distribuidora Comercial Integradora
SKU-10036,Juego de Sartenes Antiadherentes,Hogar y Cocina,Adidas,6092.59,160.0,2025-04-09,Distribuidora Global S.A.
SKU-10037,Tapete de Yoga Antideslizante,Deportes,HP,11238.45,4.0,20/08/2025,Distribuidora Nacional
SKU-10038,"Laptop Portátil 15.6""",Electrónica,Adidas,13388.29,67.0,03/06/2025,Distribuidora Global S.A.
SKU-10039,Cafetera de Filtro Eléctrica,Hogar y Cocina,Zara,7535.96,154.0,26/10/2025,Distribuidora Nacional
SKU-10040,Kit de Maquillaje Profesional,Belleza,Under Armour,347.71,,04/05/2025,Distribuidora Comercial Integradora
SKU-10041,Tenis Deportivos Running,Ropa y Calzado,Oster,,175.0,22/04/2025,Distribuidora Global S.A.
SKU-10042,Secador de Cabello Iónico,Belleza,Oster,2272.71,26.0,2025-02-21,Distribuidora Global S.A.
SKU-10043,"  Televisor Smart TV 55""  ",Electrónica,Philips,19621.3,326.0,06/05/2025,Distribuidora Comercial Integradora
SKU-10044,Mochila de Senderismo 40L,Deportes,Samsung,1475.71,76.0,02/09/2025,Distribuidora Comercial Integradora
SKU-10045,Crema Hidratante Facial,Belleza,Levis,405.0,157.0,26/06/2025,Distribuidora Nacional
SKU-10046,Cafetera de Filtro Eléctrica,Hogar y Cocina,Under Armour,2394.86,,,Distribuidora Sur Express
